State,PII(types),Definition_of _PII,timeline_days(individual),Notification to AG,AG_type,AG_threshold,AG_days,Penalty
oregon,8,"1) First name or first initial and last name plus SSN, driverâ€™s license number, state ID number, passport number, or financial account number with required access code or password. 2) Includes medical information, health insurance policy numbers, and biometric data. 3) Encrypted data is excluded unless the encryption key is also acquired.","As quickly as possible and without unreasonable delay, consistent with law enforcement requests and measures needed to determine scope or restore system integrity.",Required if the breach affects more than 250 Oregon residents. A copy of the consumer notice must be provided.,conditional,250,,"The Attorney General may bring an action for civil penalties. Penalties may reach up to 1,000 dollars per violation, with overall limits determined by Oregon consumer protection law."
pennsylvania,3,"Personal information means first name or initial and last name with: Social Security number, driverâ€™s license or state ID number, or financial account, credit, or debit card number with any required security code or access code",Without unreasonable delay following discovery of the breach,"If more than 1,000 Pennsylvania residents are notified, must also notify nationwide consumer reporting agencies",conditional,1000,,Attorney General may enforce; civil penalties possible; direct cause of action for damages
rhode_island,5,"An individual's first name or first initial and last name in combination with one or more of the following (when not encrypted): 1) Social Security number; 2) Driver's license number or RI identification card number; 3) Account, credit, or debit card number + any required security code, access code, or password; 4) Medical information or health insurance information; 5) Email address + any required security code, access code, or password.","""In the most expedient time possible, but no later than **forty-five (45) calendar days** after confirmation of the breach,"" unless delayed by law enforcement.","Required if the breach affects **more than 500** Rhode Island residents. Notification to the AG must be made ""without delaying notice to affected Rhode Island residents.""",conditional,500,,The Attorney General may bring action. â€¢ **Reckless violation:** Civil penalty of not more than \*\*$100 per record\*\*. â€¢ **Knowing and willful violation:** Civil penalty of not more than **$200 per record**.
south_carolina,4,"First name/initial and last name plus one or more: SSN, driverâ€™s license/state ID, financial account/credit/debit card (with security/access code), or similar unique identifiers. Applies only if not encrypted/redacted. Includes data elements enabling access to individualâ€™s accounts or unique ID numbers issued by the government.","Most expedient time possible and without unreasonable delay, consistent with law enforcement needs, or measures to determine scope and restore system integrity.","If >1,000 residents notified, must notify Department of Consumer Affairsâ€™ Consumer Protection Division without unreasonable delay, providing notice details.",conditional,1000,,"Administrative fine up to $1,000 per resident per violation; private right of action and AG enforcement; injunctive relief and attorney fees possible."
south_dakota,7,First name/initial + last name with: SSN; driver/ID; account/credit/debit number with required code/password; medical info; health insurance info; biometric data; plus online account credentials.,"Most expedient time possible and without unreasonable delay, but no later than 60 days after discovery unless law enforcement delay.",Notify South Dakota AG if >250 residents affected.,conditional,250,,Civil penalties possible.
tennessee,3,"An individual's first name or first initial and last name, in combination with Social Security number, driverâ€™s license or identification card number, or account, credit, or debit card number with security code, access code, or password","Must be made â€œimmediately,â€ no later than 45 days from discovery of the breach, unless delayed at the request of law enforcement",No general statewide AG notification requirement for private sector breaches; state agencies must notify the Comptroller within 5 working days,none,,,Civil lawsuits may be brought for failure to notify within required 45 days; AG enforcement and damages possible
texas,9,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password, medical/health insurance info, username/email plus password or security Q&A, unique biometric identifiers (if unencrypted).eleectroniic address, telecommunicatioins access device, mother's maiden name",30,Required if more than 250 residents,conditional,250,,"(a) A person who violates this chapter is liable to this state for a civil penalty of at least $2,000 but not more than $50,000 for each violation. The attorney general may bring an action to recover the civil penalty imposed under this subsection.
 
 
 
 (a-1) In addition to penalties assessed under Subsection (a), a person who fails to take reasonable action to comply with Section 521.053(b) is liable to this state for a civil penalty of not more than $100 for each individual to whom notification is due under that subsection for each consecutive day that the person fails to take reasonable action to comply with that subsection. Civil penalties under this section may not exceed $250,000 for all individuals to whom notification is due after a single breach. The attorney general may bring an action to recover the civil penalties imposed under this subsection."
utah,4,First name/initial + last name with: SSN; financial account or card number with code/password; driver/ID number; plus standalone online account credentials covered for credential notice.,Most expedient time possible and without unreasonable delay.,Notify Utah Attorney General and Utah Cyber Center if 500+ residents affected.,conditional,500,,Civil penalties possible.
vermont,7,"""A consumer's first name or first initial and last name in combination with one or more of the following (when not encrypted or redacted): 1) Social Security number; 2) Financial account number (e.g., credit/debit card) + any required security code, access code, or password; 3) Driver's license or state ID card number; 4) or other access code for a financial account; 5) Unique biometric data; 6) Health information or health insurance policy number; 7) Username or email address + password or security /answer.""","""In the most expedient time possible... but not later than **45 days** after the discovery"" of the breach.",A **preliminary notice** must be sent to the AG within **14 business days** of discovery (one of the fastest in the nation). A full notice must be sent at the same time as notice to individuals.,mandatory,,14,"The Attorney General or a State's Attorney may bring an action. â€¢ **Government Agencies:** Civil penalty of $500 per resident not notified, capped at $50,000. â€¢ **Private Actions:** A consumer may sue for ""actual economic damages"" sustained. â€¢ **AG Enforcement:** Violations are treated as an unfair or deceptive act in commerce."
louisiana,3,"First name or first initial and last name (of state resident), in combination with any one or more of: SSN, driverâ€™s license/state ID number, passport number, financial account/credit/debit card plus access codes/passwords, biometric data (fingerprints, retina, iris), and medical/health insurance info. Applies only if data is unencrypted or unredacted.",60,Required if more than 1000 residents,conditional,1000,,"Violations may result in damages, civil penalties, including up to $5,000 per violation per day for AG notification delay, and private right of action. Unfair trade practices provisions may apply."
maine,4,"First name/initial and last name plus at least one of: SSN, driver's license/state ID, financial account number plus access code/password, username/email plus password or security Q&A",30,Required if residents are notified,mandatory,,,"The Attorney General or the PFR may bring an action. Penalties include: 
  â€¢ Equitable relief; 
  â€¢ Fines of **$500 per violation**, capped at **$2,500 for each day** the entity is in violation."
maryland,3,"First name or first initial and last name (of state resident), in combination with any one or more of: SSN, driverâ€™s license/state ID number, passport number, financial account/credit/debit card plus access codes/passwords, biometric data (fingerprints, retina, iris), and medical/health insurance info. Applies only if data is unencrypted or unredacted.",45,Attorney General must be notified prior to notice to individuals if any Maryland resident is notified,mandatory,,,Attorney General may bring enforcement actions; civil penalties possible per violation
virginia,3,"Personal information includes an individualâ€™s first name (or initial) and last name in combination with one or more of the following: Social Security number; driverâ€™s license or state ID number; or financial account, credit, or debit card number with any security code, access code, or password required to access","Must be made as expeditiously as possible and without unreasonable delay, and no later than 45 days from discovery, except as needed for law enforcement investigation or system restoration","Attorney General (AG) notification is required for any breach affecting resident(s) of the state, without unreasonable delay",mandatory,,,"Attorney General may impose a civil penalty not to exceed $150,000 per breach; individuals may seek direct economic damages in civil action"
washington,9,"1) First name or first initial and last name plus SSN, driverâ€™s license number, Washington ID number, account number with required password or access code, or full date of birth. 2) Also includes biometric data, student ID numbers, medical information, and health insurance numbers. 3) Encrypted data is exempt unless the key is also obtained.",Notice must be provided no later than 30 calendar days after discovery of the breach unless delayed by law enforcement.,Required if the breach affects 500 or more Washington residents. Notice must be given to the Attorney General within 30 days and must include detailed information about the incident.,conditional,500,30,"The Attorney General may bring actions for violations. Civil penalties may apply under Washington consumer protection laws, and courts may order restitution."
west_virginia,3,"Personal information includes an individual's first name (or initial) and last name in combination with Social Security number, driver's license or state ID number, or financial account, credit/debit card number with any security code, access code, or password required for access","Notice to affected individuals must occur without unreasonable delay following the discovery or notification of the breach, except for delay requested by law enforcement for investigation",No general requirement to notify Attorney General (AG) for private sector entities; AG notification may be required for violations or enforcement action,none,,,"Civil penalties up to $150,000 per breach or series of similar breaches may be imposed by the Attorney General; failure to comply constitutes unfair/deceptive practices"
wisconsin,5,"�Personal information� means an individuals last name and the individuals first name or first initial, in combination with and linked to any of the following elements, if the element is not publicly available information and is not encrypted, redacted, or altered in a manner that renders the element unreadable: 1. The individuals social security number. 2. The individuals drivers license number or state identification number. 3. The number of the individuals financial account number, including a credit or debit card account number, or any security code, access code, or password that would permit access to the individuals financial account. 4. The individuals deoxyribonucleic acid profile, as defined in s. 939.74 (2d) (a). 5. The individuals unique biometric data, including fingerprint, voice print, retina or iris image, or any other unique physical representation.","Notice must be made within a reasonable time, not to exceed 45 days after discovery of the breach.",Not specified in statute.,none,,,â€‚Whoever is concerned in the commission of a violation of this chapter for which a forfeiture is imposed is a principal and may be charged with and convicted of the violation although he or she did not directly commit it and although the person who directly committed it has not been convicted of the violation.
wyoming,13,First name/initial + last name with one or more: SSN; driver or government ID; tribal ID; account/credit/debit + code; username/email + password or Q&A; medical info; health insurance info; biometric data; birth/marriage certificate info; taxpayer ID; shared secrets/tokens.,Most expedient time possible without unreasonable delay.,No AG/government notification requirement.,none,,,Civil penalties under consumer protection.
